developer_name,developer_address,developer_contact_person,developer_project_developer_subsidiary_name,developer_project_project_name,developer_project_address,developer_project_contact_person,developer_project_email,developer_project_commission_rate,developer_project_sales_cluster
The New Apec Development Corporation,"Unit 1603 04 Orient Square Don Francisco, Ortigas, Jr., Rd., Ortigas Center, Pasig, Metro Manila",Joanna Briguera,The New Apec Development Corporation,Brixton Homes,Lipa Batangas,Joyce Romano,j.romano@supermail.com,6,Others
The New Apec Development Corporation,"Unit 1603 04 Orient Square Don Francisco, Ortigas, Jr., Rd., Ortigas Center, Pasig, Metro Manila",Joanna Briguera,The New Apec Development Corporation,Brooklyn Heights,"Orquidea St, Guiguinto, Bulacan",Joyce Romano,j.romano@supermail.com,6,North Cluster
The New Apec Development Corporation,"Unit 1603 04 Orient Square Don Francisco, Ortigas, Jr., Rd., Ortigas Center, Pasig, Metro Manila",Joanna Briguera,The New Apec Development Corporation,Burgundy Homes,"Santa Maria, Bulacan",Joyce Romano,j.romano@supermail.com,6,North Cluster
The New Apec Development Corporation,"Unit 1603 04 Orient Square Don Francisco, Ortigas, Jr., Rd., Ortigas Center, Pasig, Metro Manila",Joanna Briguera,The New Apec Development Corporation,Casa Isabel,Sto. Tomas Batangas,Joyce Romano,j.romano@supermail.com,6,Others
The New Apec Development Corporation,"Unit 1603 04 Orient Square Don Francisco, Ortigas, Jr., Rd., Ortigas Center, Pasig, Metro Manila",Joanna Briguera,The New Apec Development Corporation,Clayton Heights,"Brgy. Guinayang, San Mateo Rizal",Joyce Romano,j.romano@supermail.com,6,East Cluster
The New Apec Development Corporation,"Unit 1603 04 Orient Square Don Francisco, Ortigas, Jr., Rd., Ortigas Center, Pasig, Metro Manila",Joanna Briguera,The New Apec Development Corporation,High Land Residences,"Juan Villegas St, Santo Tomas, Batangas",Joyce Romano,j.romano@supermail.com,6,Ala Eh Cluster
The New Apec Development Corporation,"Unit 1603 04 Orient Square Don Francisco, Ortigas, Jr., Rd., Ortigas Center, Pasig, Metro Manila",Joanna Briguera,The New Apec Development Corporation,Highland Residences,Batangas,Joyce Romano,j.romano@supermail.com,6,Others
The New Apec Development Corporation,"Unit 1603 04 Orient Square Don Francisco, Ortigas, Jr., Rd., Ortigas Center, Pasig, Metro Manila",Joanna Briguera,The New Apec Development Corporation,Howard Village,Laguna,Johnny Boyega,j.boyega@amaiacorp.com,6,Others
The New Apec Development Corporation,"Unit 1603 04 Orient Square Don Francisco, Ortigas, Jr., Rd., Ortigas Center, Pasig, Metro Manila",Joanna Briguera,The New Apec Development Corporation,Ibiza Townhomes,"San Mateo, Rizal",Johnny Boyega,j.boyega@amaiacorp.com,6,East Cluster
The New Apec Development Corporation,"Unit 1603 04 Orient Square Don Francisco, Ortigas, Jr., Rd., Ortigas Center, Pasig, Metro Manila",Joanna Briguera,The New Apec Development Corporation,Marilao Grand Villas,"Loma de Gato, Marilao, Bulacan",Joyce Romano,j.romano@supermail.com,6,North Cluster
The New Apec Development Corporation,"Unit 1603 04 Orient Square Don Francisco, Ortigas, Jr., Rd., Ortigas Center, Pasig, Metro Manila",Joanna Briguera,The New Apec Development Corporation,Montana Heights,Calamba Laguna,Jane Ubie,j.ubie@gmail.com,6,Others
The New Apec Development Corporation,"Unit 1603 04 Orient Square Don Francisco, Ortigas, Jr., Rd., Ortigas Center, Pasig, Metro Manila",Joanna Briguera,The New Apec Development Corporation,Paragon Village,"Trece Martirez, Cavite",Jane Ubie,j.ubie@gmail.com,6,Cavitex Cluster
The New Apec Development Corporation,"Unit 1603 04 Orient Square Don Francisco, Ortigas, Jr., Rd., Ortigas Center, Pasig, Metro Manila",Joanna Briguera,The New Apec Development Corporation,Riviera Heights Extension,"Labas, Santa Rosa, Laguna",Joyce Romano,j.romano@supermail.com,6,Others
The New Apec Development Corporation,"Unit 1603 04 Orient Square Don Francisco, Ortigas, Jr., Rd., Ortigas Center, Pasig, Metro Manila",Joanna Briguera,The New Apec Development Corporation,Sonoma Residences,"Santa Maria, Bulacan",Joyce Romano,j.romano@supermail.com,6,North Cluster
The New Apec Development Corporation,"Unit 1603 04 Orient Square Don Francisco, Ortigas, Jr., Rd., Ortigas Center, Pasig, Metro Manila",Joanna Briguera,The New Apec Development Corporation,Sorrento Village,"San Mateo, Rizal",Jackie Dy,jackie.dy@hotmail.com,6,East Cluster
The New Apec Development Corporation,"Unit 1603 04 Orient Square Don Francisco, Ortigas, Jr., Rd., Ortigas Center, Pasig, Metro Manila",Joanna Briguera,The New Apec Development Corporation,Southbrooke Village,Batangas,Joyce Romano,j.romano@supermail.com,6,Others
The New Apec Development Corporation,"Unit 1603 04 Orient Square Don Francisco, Ortigas, Jr., Rd., Ortigas Center, Pasig, Metro Manila",Joanna Briguera,The New Apec Development Corporation,Villa Arcadia,"Carsadang Bago, Imus, Cavite",Joyce Romano,j.romano@supermail.com,6,Others
The New Apec Development Corporation,"Unit 1603 04 Orient Square Don Francisco, Ortigas, Jr., Rd., Ortigas Center, Pasig, Metro Manila",Joanna Briguera,The New Apec Development Corporation,Villa Zaragoza Subdivision,Bocaue Bulacan,Joyce Romano,j.romano@supermail.com,6,North Cluster
